name,a,elements,crystal_system,point_group,formula,plane,num_elements
Ac (0001),13.01703648,Ac,Hexagonal,6/mmm,Ac,(0001),1
Ac2AgIr (111),10.761500896980465,"Ac, Ag, Ir",Cubic,m-3m,Ac2AgIr,(111),3
Ac2AgPb (111),11.503861731251003,"Ac, Ag, Pb",Cubic,m-3m,Ac2AgPb,(111),3
Ac2CdGa (111),11.317976369241833,"Ac, Cd, Ga",Cubic,m-3m,Ac2CdGa,(111),3
Ac2CdGe (111),11.242221700463078,"Ac, Cd, Ge",Cubic,m-3m,Ac2CdGe,(111),3
Ac2CdHg (111),11.461230687677336,"Ac, Cd, Hg",Cubic,m-3m,Ac2CdHg,(111),3
Ac2CdSn (111),11.542332299945524,"Ac, Cd, Sn",Cubic,m-3m,Ac2CdSn,(111),3
Ac2CuGe (111),10.884539089110387,"Ac, Cu, Ge",Cubic,m-3m,Ac2CuGe,(111),3
Ac2CuIr (111),10.560366748950736,"Ac, Cu, Ir",Cubic,m-3m,Ac2CuIr,(111),3
Ac2CuSi (111),10.8326366594117,"Ac, Cu, Si",Cubic,m-3m,Ac2CuSi,(111),3
Ac2CuSn (111),11.260563993798513,"Ac, Cu, Sn",Cubic,m-3m,Ac2CuSn,(111),3
Ac2GaCu (111),10.945157090719803,"Ac, Cu, Ga",Cubic,m-3m,Ac2GaCu,(111),3
Ac2GaSi (111),11.004896922275538,"Ac, Ga, Si",Cubic,m-3m,Ac2GaSi,(111),3
Ac2GePd (111),10.91169917481891,"Ac, Ge, Pd",Cubic,m-3m,Ac2GePd,(111),3
Ac2HgGe (111),11.220674412663124,"Ac, Ge, Hg",Cubic,m-3m,Ac2HgGe,(111),3
Ac2InGa (111),11.390896162081999,"Ac, Ga, In",Cubic,m-3m,Ac2InGa,(111),3
Ac2IrAu (111),10.733312608408559,"Ac, Au, Ir",Cubic,m-3m,Ac2IrAu,(111),3
Ac2IrPd (111),10.583646910360555,"Ac, Ir, Pd",Cubic,m-3m,Ac2IrPd,(111),3
Ac2IrRh (111),10.468855534913985,"Ac, Ir, Rh",Cubic,m-3m,Ac2IrRh,(111),3
Ac2MgGa (111),11.342637340489683,"Ac, Ga, Mg",Cubic,m-3m,Ac2MgGa,(111),3
Ac2MgPb (111),11.697813173450253,"Ac, Mg, Pb",Cubic,m-3m,Ac2MgPb,(111),3
Ac2MgSn (111),11.604023180531907,"Ac, Mg, Sn",Cubic,m-3m,Ac2MgSn,(111),3
Ac2MgTl (111),11.662664394423846,"Ac, Mg, Tl",Cubic,m-3m,Ac2MgTl,(111),3
Ac2NiGe (111),10.76335297934602,"Ac, Ge, Ni",Cubic,m-3m,Ac2NiGe,(111),3
Ac2NiIr (111),10.43151446107175,"Ac, Ir, Ni",Cubic,m-3m,Ac2NiIr,(111),3
Ac2SiAu (111),11.003180491373387,"Ac, Au, Si",Cubic,m-3m,Ac2SiAu,(111),3
Ac2SiHg (111),11.165915969227605,"Ac, Hg, Si",Cubic,m-3m,Ac2SiHg,(111),3
Ac2SiPd (111),10.869176477764436,"Ac, Pd, Si",Cubic,m-3m,Ac2SiPd,(111),3
Ac2SnHg (111),11.507423484676382,"Ac, Hg, Sn",Cubic,m-3m,Ac2SnHg,(111),3
Ac2TlCd (111),11.608659198863535,"Ac, Cd, Tl",Cubic,m-3m,Ac2TlCd,(111),3
Ac2TlIn (111),11.648464219475514,"Ac, In, Tl",Cubic,m-3m,Ac2TlIn,(111),3
Ac2TlSn (111),11.6315105141527,"Ac, Sn, Tl",Cubic,m-3m,Ac2TlSn,(111),3
Ac2ZnAu (111),11.033153870916978,"Ac, Au, Zn",Cubic,m-3m,Ac2ZnAu,(111),3
Ac2ZnGa (111),11.072539209512186,"Ac, Ga, Zn",Cubic,m-3m,Ac2ZnGa,(111),3
Ac2ZnGe (111),11.00845417850179,"Ac, Ge, Zn",Cubic,m-3m,Ac2ZnGe,(111),3
Ac2ZnHg (111),11.249002232240688,"Ac, Hg, Zn",Cubic,m-3m,Ac2ZnHg,(111),3
Ac2ZnIn (111),11.390935222660591,"Ac, In, Zn",Cubic,m-3m,Ac2ZnIn,(111),3
Ac2ZnIr (111),10.69747891161068,"Ac, Ir, Zn",Cubic,m-3m,Ac2ZnIr,(111),3
Ac2ZnSi (111),10.945028057874376,"Ac, Si, Zn",Cubic,m-3m,Ac2ZnSi,(111),3
Ac2ZnSn (111),11.353996303822663,"Ac, Sn, Zn",Cubic,m-3m,Ac2ZnSn,(111),3
Ac3In (0001),5.980658500000092,"Ac, In",Hexagonal,6/mmm,Ac3In,(0001),2
Ac3Sn (111),7.5195728869657685,"Ac, Sn",Cubic,m-3m,Ac3Sn,(111),2
Ac3Tl (0001),5.9221661,"Ac, Tl",Hexagonal,6/mmm,Ac3Tl,(0001),2
AcAg (111),5.5831054729462215,"Ac, Ag",Cubic,m-3m,AcAg,(111),2
AcAg2Pb (111),10.571164156362366,"Ac, Ag, Pb",Cubic,m-3m,AcAg2Pb,(111),3
AcAg2Sn (111),10.449250094308908,"Ac, Ag, Sn",Cubic,m-3m,AcAg2Sn,(111),3
AcAg3 (0001),4.749345700000226,"Ac, Ag",Hexagonal,6/mmm,AcAg3,(0001),2
AcAgAu2 (111),10.333776841651106,"Ac, Ag, Au",Cubic,m-3m,AcAgAu2,(111),3
AcAgTe2 (111),11.149843573512591,"Ac, Ag, Te",Cubic,m-3m,AcAgTe2,(111),3
AcAl3 (0001),4.6515836,"Ac, Al",Hexagonal,6/mmm,AcAl3,(0001),2
AcAlO3 (111),5.4569323511861825,"Ac, Al, O",Cubic,m-3m,AcAlO3,(111),3
AcAu3 (0001),4.689735190005689,"Ac, Au",Hexagonal,6/mmm,AcAu3,(0001),2
AcBiAu2 (111),10.606891820141325,"Ac, Au, Bi",Cubic,m-3m,AcBiAu2,(111),3
AcBr3 (0001),4.72345121,"Ac, Br",Hexagonal,6/m,AcBr3,(0001),2
AcCd3 (0001),7.235691058600798,"Ac, Cd",Hexagonal,6/mmm,AcCd3,(0001),2
AcCdAu2 (111),10.407847804331045,"Ac, Au, Cd",Cubic,m-3m,AcCdAu2,(111),3
AcCdHg2 (111),10.72038176084206,"Ac, Cd, Hg",Cubic,m-3m,AcCdHg2,(111),3
AcCdRh2 (111),9.761885791021632,"Ac, Cd, Rh",Cubic,m-3m,AcCdRh2,(111),3
AcCl3 (0001),4.5690029800000005,"Ac, Cl",Hexagonal,6/m,AcCl3,(0001),2
AcCrO3 (111),5.578064009014352,"Ac, Cr, O",Cubic,m-3m,AcCrO3,(111),3
AcCu3 (0001),4.24688587,"Ac, Cu",Hexagonal,6/mmm,AcCu3,(0001),2
AcCuO3 (111),5.534286127808458,"Ac, Cu, O",Cubic,m-3m,AcCuO3,(111),3
