a,b,dimensions,mcia,angle,substrate,R,G,B,color_column
5.43,7.679179643685906,(a × b),41.69794546521447,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
7.679179643685906,5.43,(b × a),41.69794546521447,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
5.43,3.839589821842953,(a × b/2),41.69794546521447,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.839589821842953,5.43,(b/2 × a),41.69794546521447,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
5.43,15.358359287371812,(a × 2b),83.39589093042893,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
15.358359287371812,5.43,(2b × a),83.39589093042893,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
5.43,5.119453095790604,(a × 2/3 b),83.39589093042893,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
5.119453095790604,5.43,(2/3 b × a),83.39589093042893,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
5.43,3.0716718574743624,(a × 2/5 b),83.39589093042893,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.0716718574743624,5.43,(2/5 b × a),83.39589093042893,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
5.43,23.037538931057718,(a × 3b),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
23.037538931057718,5.43,(3b × a),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
5.43,11.518769465528859,(a × 3/2 b),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
11.518769465528859,5.43,(3/2 b × a),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
5.43,5.759384732764429,(a × 3/4 b),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
5.759384732764429,5.43,(3/4 b × a),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
5.43,4.607507786211544,(a × 3/5 b),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
4.607507786211544,5.43,(3/5 b × a),125.09383639564341,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
5.43,30.716718574743624,(a × 4b),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
30.716718574743624,5.43,(4b × a),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
5.43,10.238906191581208,(a × 4/3 b),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
10.238906191581208,5.43,(4/3 b × a),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
5.43,6.143343714948725,(a × 4/5 b),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
6.143343714948725,5.43,(4/5 b × a),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
10.86,7.679179643685906,(2a × b),83.39589093042893,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
7.679179643685906,10.86,(b × 2a),83.39589093042893,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
10.86,3.839589821842953,(2a × b/2),83.39589093042893,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.839589821842953,10.86,(b/2 × 2a),83.39589093042893,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.6199999999999997,7.679179643685906,(2/3 a × b),83.39589093042893,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
7.679179643685906,3.6199999999999997,(b × 2/3 a),83.39589093042893,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.6199999999999997,3.839589821842953,(2/3 a × b/2),83.39589093042893,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.839589821842953,3.6199999999999997,(b/2 × 2/3 a),83.39589093042893,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
10.86,15.358359287371812,(2a × 2b),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
15.358359287371812,10.86,(2b × 2a),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
10.86,5.119453095790604,(2a × 2/3 b),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
5.119453095790604,10.86,(2/3 b × 2a),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
10.86,3.0716718574743624,(2a × 2/5 b),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.0716718574743624,10.86,(2/5 b × 2a),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.6199999999999997,15.358359287371812,(2/3 a × 2b),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
15.358359287371812,3.6199999999999997,(2b × 2/3 a),166.79178186085787,0º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
