Name,Structure,Plane,a,b,c,include,notes,centring
Silicon,cubic,"110, 111",5.43,,,True,,P
Germanium,cubic,"100, 111",5.65,,,True,,P
GaAs,cubic,"100, 111, 110",5.65,,,True,,P
GaP,cubic,"100, 111, 110",5.45,,,True,,P
GaSb,cubic,"100, 111, 110",6.09,,,True,,P
InAs,cubic,"100, 111, 110",6.06,,,True,,P
InP,cubic,"100, 111, 110",5.87,,,True,,P
InSb,cubic,"100, 111, 110",6.48,,,True,,P
ZnS,cubic,"100, 111, 110",5.41,,,True,,P
ZnSe,cubic,"100, 111, 110",5.67,,,True,,P
ZnTe,cubic,"100, 111, 110",6.1,,,True,,P
CdS,hexagonal,"100, 111, 110",4.14,,6.76,False,Plane column holds cubic Miller indices (100/111/110) on a hexagonal structure; needs correct hexagonal planes from Crystec before it can be included,P
CdSe,hexagonal,"100, 111, 110",4.3,,7.01,False,Plane column holds cubic Miller indices (100/111/110) on a hexagonal structure; needs correct hexagonal planes from Crystec before it can be included,P
CdTe,cubic,"100, 111, 110",6.48,,,True,,P
Sapphire,hexagonal,"C, R, A, M",4.763,,13.003,True,,R
DyScO3,orthorhombic,110,5.54,5.71,7.89,True,,P
GdScO3,orthorhombic,110,5.45,5.75,7.93,True,,P
GGG,cubic,"100, 110, 111",12.38,,,True,,P
LaAlO3,cubic,"100, 110, 111",3.82,,,True,,P
LiAlO2,tetragonal,"100, 001, 111",5.17,,6.26,True,,P
LiGaO2,orthorhombic,"100, 001, 111",5.41,5.01,6.38,True,,P
LiNbO3,trigonal,"0001, 1010, 1120",5.15,,13.86,True,,R
LiTaO3,trigonal,"0001, 1010, 1120",5.15,,13.78,True,,R
LSAT,cubic,"100, 110, 111",3.87,,,True,,P
MgAl2O4 - Spinel,cubic,"100, 110, 111",8.09,,,True,,P
MgO,cubic,"100, 110, 111",4.21,,,True,,P
NdGaO3,orthorhombic,"110, 100, 001",5.43,5.5,7.71,True,,P
SrLaAlO4,tetragonal,"110, 100, 001",3.75,,12.63,True,,P
SrLaGaO4,tetragonal,"110, 100, 001",3.84,,12.68,True,,P
SrTiO3,cubic,"100, 110, 111",3.91,,,True,,P
TiO2,tetragonal,"100, 001, 110, 111",4.59,,2.96,True,,P
YAG,cubic,"100, 110, 111",12.0,,,True,,P
YAlO3,orthorhombic,"100, 110, 111",5.18,5.31,7.35,True,,P
Y:ZrO2 - YSZ,cubic,"100, 110, 111",5.12,,,True,,P
ZnO,hexagonal,C,3.25,,5.21,True,,P
BaF2,cubic,"100, 111",6.2,,,True,,P
CaF2,cubic,"100, 111",5.49,,,True,,P
KBr,cubic,"100, 110",6.6,,,True,,P
KCl,cubic,"100, 110",6.29,,,True,,P
MgF2,tetragonal,"001, 110, 100",4.64,,3.06,True,,P
NaCl,cubic,"100, 110",5.64,,,True,,P
