name,a,elements,crystal_system,point_group,formula,plane,num_elements
Ac (0001),4.0460407673180745,Ac,Hexagonal,6/mmm,Ac,(0001),1
Ac2AgPb (111),11.503861731251003,"Ac, Ag, Pb",Cubic,m-3m,Ac2AgPb,(111),3
Ac2CdHg (111),11.461230687677336,"Ac, Cd, Hg",Cubic,m-3m,Ac2CdHg,(111),3
Ac2CuGe (111),10.884539089110387,"Ac, Cu, Ge",Cubic,m-3m,Ac2CuGe,(111),3
Ac2CuIr (111),10.560366748950736,"Ac, Cu, Ir",Cubic,m-3m,Ac2CuIr,(111),3
Ac2GePd (111),10.91169917481891,"Ac, Ge, Pd",Cubic,m-3m,Ac2GePd,(111),3
Ac2HgGe (111),11.220674412663124,"Ac, Ge, Hg",Cubic,m-3m,Ac2HgGe,(111),3
Ac2InGa (111),11.390896162081999,"Ac, Ga, In",Cubic,m-3m,Ac2InGa,(111),3
Ac2IrAu (111),10.733312608408559,"Ac, Au, Ir",Cubic,m-3m,Ac2IrAu,(111),3
Ac2IrPd (111),10.583646910360555,"Ac, Ir, Pd",Cubic,m-3m,Ac2IrPd,(111),3
Ac2IrRh (111),10.468855534913985,"Ac, Ir, Rh",Cubic,m-3m,Ac2IrRh,(111),3
Ac2MgGa (111),11.342637340489683,"Ac, Ga, Mg",Cubic,m-3m,Ac2MgGa,(111),3
Ac2MgPb (111),11.697813173450253,"Ac, Mg, Pb",Cubic,m-3m,Ac2MgPb,(111),3
Ac2MgSn (111),11.604023180531907,"Ac, Mg, Sn",Cubic,m-3m,Ac2MgSn,(111),3
Ac2MgTl (111),11.662664394423846,"Ac, Mg, Tl",Cubic,m-3m,Ac2MgTl,(111),3
Ac2NiIr (111),10.431514461071751,"Ac, Ir, Ni",Cubic,m-3m,Ac2NiIr,(111),3
Ac2O3 (0001),4.095488002164615,"Ac, O",Trigonal,-3m,Ac2O3,(0001),2
Ac2TlCd (111),11.608659198863535,"Ac, Cd, Tl",Cubic,m-3m,Ac2TlCd,(111),3
Ac2TlIn (111),11.648464219475514,"Ac, In, Tl",Cubic,m-3m,Ac2TlIn,(111),3
Ac2TlSn (111),11.6315105141527,"Ac, Sn, Tl",Cubic,m-3m,Ac2TlSn,(111),3
Ac2ZnGe (111),11.00845417850179,"Ac, Ge, Zn",Cubic,m-3m,Ac2ZnGe,(111),3
Ac2ZnHg (111),11.249002232240688,"Ac, Hg, Zn",Cubic,m-3m,Ac2ZnHg,(111),3
Ac2ZnIn (111),11.390935222660591,"Ac, In, Zn",Cubic,m-3m,Ac2ZnIn,(111),3
Ac3In (0001),7.726781862587199,"Ac, In",Hexagonal,6/mmm,Ac3In,(0001),2
Ac3Tl (0001),7.764830470678914,"Ac, Tl",Hexagonal,6/mmm,Ac3Tl,(0001),2
AcAg (111),5.5831054729462215,"Ac, Ag",Cubic,m-3m,AcAg,(111),2
AcAg2Pb (111),10.57116415636237,"Ac, Ag, Pb",Cubic,m-3m,AcAg2Pb,(111),3
AcAg3 (0001),6.957286091405646,"Ac, Ag",Hexagonal,6/mmm,AcAg3,(0001),2
AcAl3 (0001),6.980687244195969,"Ac, Al",Hexagonal,6/mmm,AcAl3,(0001),2
AcAlO3 (111),5.4569323511861825,"Ac, Al, O",Cubic,m-3m,AcAlO3,(111),3
AcAu3 (0001),6.92286701560859,"Ac, Au",Hexagonal,6/mmm,AcAu3,(0001),2
AcBr3 (0001),8.168264033291734,"Ac, Br",Hexagonal,6/m,AcBr3,(0001),2
AcCdHg2 (111),10.72038176084206,"Ac, Cd, Hg",Cubic,m-3m,AcCdHg2,(111),3
AcCdRh2 (111),9.761885791021632,"Ac, Cd, Rh",Cubic,m-3m,AcCdRh2,(111),3
AcCl3 (0001),7.695635518178531,"Ac, Cl",Hexagonal,6/m,AcCl3,(0001),2
AcCrO3 (111),5.578064009014352,"Ac, Cr, O",Cubic,m-3m,AcCrO3,(111),3
AcCu3 (0001),6.632735311975549,"Ac, Cu",Hexagonal,6/mmm,AcCu3,(0001),2
AcCuO3 (111),5.534286127808458,"Ac, Cu, O",Cubic,m-3m,AcCuO3,(111),3
AcEuAu2 (111),10.797311754228232,"Ac, Au, Eu",Cubic,m-3m,AcEuAu2,(111),3
AcEuZn2 (111),10.847544195699658,"Ac, Eu, Zn",Cubic,m-3m,AcEuZn2,(111),3
AcFeO3 (111),5.591197796227188,"Ac, Fe, O",Cubic,m-3m,AcFeO3,(111),3
AcGaO3 (111),5.580857368356796,"Ac, Ga, O",Cubic,m-3m,AcGaO3,(111),3
AcGe3 (0001),6.648437158518677,"Ac, Ge",Hexagonal,6/mmm,AcGe3,(0001),2
AcH2 (111),8.367067732825253,"Ac, H",Cubic,m-3m,AcH2,(111),2
AcH3 (111),8.218534363718474,"Ac, H",Cubic,m-3m,AcH3,(111),2
AcHg3 (0001),7.129526320710439,"Ac, Hg",Hexagonal,6/mmm,AcHg3,(0001),2
AcHgRh2 (111),9.767029879717677,"Ac, Hg, Rh",Cubic,m-3m,AcHgRh2,(111),3
AcI3 (0001),11.036219916455426,"Ac, I",Hexagonal,6/mmm,AcI3,(0001),2
AcIn3 (0001),7.235348744118,"Ac, In",Hexagonal,6/mmm,AcIn3,(0001),2
AcInHg2 (111),10.804645714914832,"Ac, Hg, In",Cubic,m-3m,AcInHg2,(111),3
AcLaCd2 (111),11.321720980480826,"Ac, Cd, La",Cubic,m-3m,AcLaCd2,(111),3
AcMg (111),5.839185866339404,"Ac, Mg",Cubic,m-3m,AcMg,(111),2
AcMg5 (0001),6.170180370311531,"Ac, Mg",Hexagonal,6/mmm,AcMg5,(0001),2
AcMgCd2 (111),10.788239319667168,"Ac, Cd, Mg",Cubic,m-3m,AcMgCd2,(111),3
AcMgHg2 (111),10.736331968505283,"Ac, Hg, Mg",Cubic,m-3m,AcMgHg2,(111),3
AcMgTl2 (111),11.035645432371165,"Ac, Mg, Tl",Cubic,m-3m,AcMgTl2,(111),3
AcMgZn2 (111),10.303783267039346,"Ac, Mg, Zn",Cubic,m-3m,AcMgZn2,(111),3
AcMnO3 (111),5.6045590078346095,"Ac, Mn, O",Cubic,m-3m,AcMnO3,(111),3
AcN (0001),4.280277110979795,"Ac, N",Hexagonal,6mm,AcN,(0001),2
AcNiO3 (111),5.485493077614862,"Ac, Ni, O",Cubic,m-3m,AcNiO3,(111),3
AcOF (111),8.410969400630012,"Ac, F, O",Cubic,-43m,AcOF,(111),3
AcPbAu2 (111),10.5739389847931,"Ac, Au, Pb",Cubic,m-3m,AcPbAu2,(111),3
AcTiO3 (111),5.650942850943798,"Ac, O, Ti",Cubic,m-3m,AcTiO3,(111),3
AcTlAg2 (111),10.50700417203317,"Ac, Ag, Tl",Cubic,m-3m,AcTlAg2,(111),3
AcTlAu2 (111),10.55348838187888,"Ac, Au, Tl",Cubic,m-3m,AcTlAu2,(111),3
AcTlHg2 (111),10.895041265298739,"Ac, Hg, Tl",Cubic,m-3m,AcTlHg2,(111),3
AcTlRh2 (111),9.871472973695754,"Ac, Rh, Tl",Cubic,m-3m,AcTlRh2,(111),3
AcTlTe2 (111),11.522924481543654,"Ac, Te, Tl",Cubic,m-3m,AcTlTe2,(111),3
AcVO3 (111),5.611451451045455,"Ac, O, V",Cubic,m-3m,AcVO3,(111),3
AcYbHg2 (111),10.91527704662847,"Ac, Hg, Yb",Cubic,m-3m,AcYbHg2,(111),3
AcYbTl2 (111),11.132706679651468,"Ac, Tl, Yb",Cubic,m-3m,AcYbTl2,(111),3
Ag (0001),2.9111314732677247,Ag,Hexagonal,6/mmm,Ag,(0001),1
Ag2Br3 (0001),6.939375631782264,"Ag, Br",Trigonal,-3m,Ag2Br3,(0001),2
Ag2Cl3 (0001),6.61886056043685,"Ag, Cl",Trigonal,-3m,Ag2Cl3,(0001),2
Ag2F (0001),2.9951012633371192,"Ag, F",Trigonal,-3m,Ag2F,(0001),2
Ag2O (111),6.7231581374777,"Ag, O",Cubic,m-3m,Ag2O,(111),2
Ag3(PO4)2 (0001),7.666713893328185,"Ag, O, P",Trigonal,3,Ag3(PO4)2,(0001),3
Ag3AsO4 (0001),8.675688424087346,"Ag, As, O",Trigonal,3m,Ag3AsO4,(0001),3
Ag3Au (111),5.813963759619806,"Ag, Au",Cubic,m-3m,Ag3Au,(111),2
Ag3AuSe2 (111),14.192278460631062,"Ag, Au, Se",Cubic,432,Ag3AuSe2,(111),3
Ag3Ge5P6 (111),14.64389152459508,"Ag, Ge, P",Cubic,-43m,Ag3Ge5P6,(111),3
Ag3PO4 (0001),8.488473168889556,"Ag, O, P",Trigonal,3m,Ag3PO4,(0001),3
Ag3Te2Au (111),14.79374691110516,"Ag, Au, Te",Cubic,432,Ag3Te2Au,(111),3
Ag5(PbO3)2 (0001),5.955504651523942,"Ag, O, Pb",Trigonal,-3m,Ag5(PbO3)2,(0001),3
Ag7AsSe6 (111),15.629104817033893,"Ag, As, Se",Cubic,23,Ag7AsSe6,(111),3
Ag7PSe6 (111),15.315286966740281,"Ag, P, Se",Cubic,23,Ag7PSe6,(111),3
AgAsF6 (111),11.7543874184006,"Ag, As, F",Cubic,m-3m,AgAsF6,(111),3
AgAsO3 (0001),4.903842670105953,"Ag, As, O",Trigonal,-3,AgAsO3,(0001),3
AgAu3 (111),5.828867222972705,"Ag, Au",Cubic,m-3m,AgAu3,(111),2
AgBr (111),8.180290604587231,"Ag, Br",Cubic,m-3m,AgBr,(111),2
AgCl (111),7.842275227946556,"Ag, Cl",Cubic,m-3m,AgCl,(111),2
AgF (111),6.960437314513056,"Ag, F",Cubic,m-3m,AgF,(111),2
AgF3 (0001),5.0270014091288076,"Ag, F",Hexagonal,622,AgF3,(0001),2
AgHgPd2 (111),9.139782753163045,"Ag, Hg, Pd",Cubic,m-3m,AgHgPd2,(111),3
AgI (0001),4.506275830058096,"Ag, I",Hexagonal,6mm,AgI,(0001),2
AgNO3 (0001),5.152380446463462,"Ag, N, O",Trigonal,3m,AgNO3,(0001),3
AgPF6 (111),11.458331549723397,"Ag, F, P",Cubic,m-3m,AgPF6,(111),3
AgPd (0001),2.82388563244907,"Ag, Pd",Trigonal,-3m,AgPd,(0001),2
AgPt (0001),2.7830468050307133,"Ag, Pt",Hexagonal,-6m2,AgPt,(0001),2
AgRhF6 (0001),4.9996833222203465,"Ag, F, Rh",Trigonal,-3,AgRhF6,(0001),3
AgSbF6 (111),13.692577931717032,"Ag, F, Sb",Cubic,m-3,AgSbF6,(111),3
AgSbO3 (111),14.540159582047016,"Ag, O, Sb",Cubic,m-3m,AgSbO3,(111),3
AgSnSe2 (0001),4.046318530993117,"Ag, Se, Sn",Trigonal,-3m,AgSnSe2,(0001),3
Al (111),5.711909149570096,Al,Cubic,m-3m,Al,(111),1
Al(Ag3Se2)3 (111),15.806394409691134,"Ag, Al, Se",Cubic,23,Al(Ag3Se2)3,(111),3
Al(IO3)3 (0001),8.99644990863362,"Al, I, O",Hexagonal,6,Al(IO3)3,(0001),3
Al11TlO17 (0001),5.59310876,"Al, O, Tl",Hexagonal,6/mmm,Al11TlO17,(0001),3
Al12Re (111),10.575106733053547,"Al, Re",Cubic,m-3,Al12Re,(111),2
Al12Tc (111),10.562658257784038,"Al, Tc",Cubic,m-3,Al12Tc,(111),2
Al2(CN2)3 (0001),5.489732413387271,"Al, C, N",Trigonal,-3m,Al2(CN2)3,(0001),3
Al2(Ni7B2)3 (111),14.643056918863087,"Al, B, Ni",Cubic,m-3m,Al2(Ni7B2)3,(111),3
Al2(SO4)3 (0001),8.021302485407007,"Al, O, S",Trigonal,-3,Al2(SO4)3,(0001),3
Al2(SeO4)3 (0001),8.313036819157158,"Al, O, Se",Trigonal,-3,Al2(SeO4)3,(0001),3
Al2Au (111),8.491884796344541,"Al, Au",Cubic,m-3m,Al2Au,(111),2
Al2CoIr (111),8.28174495819931,"Al, Co, Ir",Cubic,m-3m,Al2CoIr,(111),3
Al2CoO4 (0001),5.781861676820192,"Al, Co, O",Trigonal,3m,Al2CoO4,(0001),3
Al2CoOs (111),8.27492565811472,"Al, Co, Os",Cubic,m-3m,Al2CoOs,(111),3
Al2CoRu (111),8.231010720765713,"Al, Co, Ru",Cubic,m-3m,Al2CoRu,(111),3
Al2Cu (111),5.742661657389368,"Al, Cu",Cubic,m-3m,Al2Cu,(111),2
Al2FeCo (111),8.002381182803529,"Al, Co, Fe",Cubic,m-3m,Al2FeCo,(111),3
Al2FeIr (111),8.278583837383863,"Al, Fe, Ir",Cubic,m-3m,Al2FeIr,(111),3
Al2FeO4 (111),11.492892651246235,"Al, Fe, O",Cubic,m-3m,Al2FeO4,(111),3
Al2IrOs (111),8.467486494688858,"Al, Ir, Os",Cubic,m-3m,Al2IrOs,(111),3
Al2IrRh (111),8.449418756777282,"Al, Ir, Rh",Cubic,m-3m,Al2IrRh,(111),3
Al2IrRu (111),8.440552118570952,"Al, Ir, Ru",Cubic,m-3m,Al2IrRu,(111),3
Al2NiOs (111),8.309995260036676,"Al, Ni, Os",Cubic,m-3m,Al2NiOs,(111),3
Al2NiRu (111),8.26504680134959,"Al, Ni, Ru",Cubic,m-3m,Al2NiRu,(111),3
Al2O3 (0001),4.805027220851815,"Al, O",Trigonal,-3m,Al2O3,(0001),2
Al2OsRh (111),8.447083918467214,"Al, Os, Rh",Cubic,m-3m,Al2OsRh,(111),3
Al2PdRu (111),8.491195191092347,"Al, Pd, Ru",Cubic,m-3m,Al2PdRu,(111),3
Al2Pt (111),8.341513999526724,"Al, Pt",Cubic,m-3m,Al2Pt,(111),2
Al2RuPt (111),8.49632387428866,"Al, Pt, Ru",Cubic,m-3m,Al2RuPt,(111),3
Al2RuRh (111),8.41654425943048,"Al, Rh, Ru",Cubic,m-3m,Al2RuRh,(111),3
Al2ZnO4 (111),11.420158745897348,"Al, O, Zn",Cubic,m-3m,Al2ZnO4,(111),3
Al2ZnS4 (111),14.154337163585407,"Al, S, Zn",Cubic,m-3m,Al2ZnS4,(111),3
Al3(Ni10B3)2 (111),14.679173069262749,"Al, B, Ni",Cubic,m-3m,Al3(Ni10B3)2,(111),3
Al3(V3C2)4 (0001),5.041376755980418,"Al, C, V",Hexagonal,6/mmm,Al3(V3C2)4,(0001),3
