name,a,b,elements,crystal_system,point_group,formula,plane,num_elements
Ac (0001),4.0460407673180745,7.007948178489871,Ac,Hexagonal,6/mmm,Ac,(0001),1
Ac (1-100),4.0460407673180745,13.01703648,Ac,Hexagonal,6/mmm,Ac,(1-100),1
Ac (1-102),4.0460407673180745,14.783591457898527,Ac,Hexagonal,6/mmm,Ac,(1-102),1
Ac (11-20),7.007948178489871,13.01703648,Ac,Hexagonal,6/mmm,Ac,(11-20),1
Ac2AgPb (100),8.13445864,8.13445864,"Ac, Ag, Pb",Cubic,m-3m,Ac2AgPb,(100),3
Ac2AgPb (110),8.13445864,11.503861731251003,"Ac, Ag, Pb",Cubic,m-3m,Ac2AgPb,(110),3
Ac2CdHg (100),8.10431394,8.10431394,"Ac, Cd, Hg",Cubic,m-3m,Ac2CdHg,(100),3
Ac2CdHg (110),8.10431394,11.461230687677336,"Ac, Cd, Hg",Cubic,m-3m,Ac2CdHg,(110),3
Ac2CuGe (100),7.6965314000000005,7.6965314000000005,"Ac, Cu, Ge",Cubic,m-3m,Ac2CuGe,(100),3
Ac2CuGe (110),7.6965314000000005,10.884539089110387,"Ac, Cu, Ge",Cubic,m-3m,Ac2CuGe,(110),3
Ac2CuIr (100),7.46730694,7.46730694,"Ac, Cu, Ir",Cubic,m-3m,Ac2CuIr,(100),3
Ac2CuIr (110),7.46730694,10.560366748950736,"Ac, Cu, Ir",Cubic,m-3m,Ac2CuIr,(110),3
Ac2GePd (100),7.715736480782106,7.715736480782106,"Ac, Ge, Pd",Cubic,m-3m,Ac2GePd,(100),3
Ac2GePd (110),7.715736480782106,10.91169917481891,"Ac, Ge, Pd",Cubic,m-3m,Ac2GePd,(110),3
Ac2HgGe (100),7.934214966680475,7.934214966680475,"Ac, Ge, Hg",Cubic,m-3m,Ac2HgGe,(100),3
Ac2HgGe (110),7.934214966680475,11.220674412663124,"Ac, Ge, Hg",Cubic,m-3m,Ac2HgGe,(110),3
Ac2InGa (100),8.05457992,8.05457992,"Ac, Ga, In",Cubic,m-3m,Ac2InGa,(100),3
Ac2InGa (110),8.05457992,11.390896162081999,"Ac, Ga, In",Cubic,m-3m,Ac2InGa,(110),3
Ac2IrAu (100),7.589598130000762,7.589598130000762,"Ac, Au, Ir",Cubic,m-3m,Ac2IrAu,(100),3
Ac2IrAu (110),7.589598130000762,10.733312608408559,"Ac, Au, Ir",Cubic,m-3m,Ac2IrAu,(110),3
Ac2IrPd (100),7.4837685,7.4837685,"Ac, Ir, Pd",Cubic,m-3m,Ac2IrPd,(100),3
Ac2IrPd (110),7.4837685,10.583646910360555,"Ac, Ir, Pd",Cubic,m-3m,Ac2IrPd,(110),3
Ac2IrRh (100),7.402598739999999,7.402598739999999,"Ac, Ir, Rh",Cubic,m-3m,Ac2IrRh,(100),3
Ac2IrRh (110),7.402598739999999,10.468855534913985,"Ac, Ir, Rh",Cubic,m-3m,Ac2IrRh,(110),3
Ac2MgGa (100),8.02045578,8.02045578,"Ac, Ga, Mg",Cubic,m-3m,Ac2MgGa,(100),3
Ac2MgGa (110),8.02045578,11.342637340489683,"Ac, Ga, Mg",Cubic,m-3m,Ac2MgGa,(110),3
Ac2MgPb (100),8.27160302,8.27160302,"Ac, Mg, Pb",Cubic,m-3m,Ac2MgPb,(100),3
Ac2MgPb (110),8.27160302,11.697813173450253,"Ac, Mg, Pb",Cubic,m-3m,Ac2MgPb,(110),3
Ac2MgSn (100),8.20528348,8.20528348,"Ac, Mg, Sn",Cubic,m-3m,Ac2MgSn,(100),3
Ac2MgSn (110),8.20528348,11.604023180531907,"Ac, Mg, Sn",Cubic,m-3m,Ac2MgSn,(110),3
Ac2MgTl (100),8.24674908,8.24674908,"Ac, Mg, Tl",Cubic,m-3m,Ac2MgTl,(100),3
Ac2MgTl (110),8.24674908,11.662664394423846,"Ac, Mg, Tl",Cubic,m-3m,Ac2MgTl,(110),3
Ac2NiIr (100),7.3761946134693686,7.3761946134693686,"Ac, Ir, Ni",Cubic,m-3m,Ac2NiIr,(100),3
Ac2NiIr (110),7.3761946134693686,10.431514461071751,"Ac, Ir, Ni",Cubic,m-3m,Ac2NiIr,(110),3
Ac2O3 (0001),4.095488002164615,7.093593301537869,"Ac, O",Trigonal,-3m,Ac2O3,(0001),2
Ac2O3 (1-100),4.095488002164615,6.29988201,"Ac, O",Trigonal,-3m,Ac2O3,(1-100),2
Ac2O3 (11-20),6.29988201,7.093593301537869,"Ac, O",Trigonal,-3m,Ac2O3,(11-20),2
Ac2S3 (001),9.08423272,9.08423272,"Ac, S",Tetragonal,-42m,Ac2S3,(001),2
Ac2TlCd (100),8.20856164,8.20856164,"Ac, Cd, Tl",Cubic,m-3m,Ac2TlCd,(100),3
Ac2TlCd (110),8.20856164,11.608659198863535,"Ac, Cd, Tl",Cubic,m-3m,Ac2TlCd,(110),3
Ac2TlIn (100),8.23670804,8.23670804,"Ac, In, Tl",Cubic,m-3m,Ac2TlIn,(100),3
Ac2TlIn (110),8.23670804,11.648464219475514,"Ac, In, Tl",Cubic,m-3m,Ac2TlIn,(110),3
Ac2TlSn (100),8.22471996,8.22471996,"Ac, Sn, Tl",Cubic,m-3m,Ac2TlSn,(100),3
Ac2TlSn (110),8.22471996,11.6315105141527,"Ac, Sn, Tl",Cubic,m-3m,Ac2TlSn,(110),3
Ac2ZnGe (100),7.7841526,7.7841526,"Ac, Ge, Zn",Cubic,m-3m,Ac2ZnGe,(100),3
